source,metaedge,target,source_name,target_name,kind_of_source,kind_of_target
Disease::DOID:8577,Disease - downregulates - Gene,Gene::6584,ulcerative colitis,SLC22A5,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::50808,ulcerative colitis,AK3,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::4609,breast cancer,MYC,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::252969,amyotrophic lateral sclerosis,NEIL2,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::9639,idiopathic pulmonary fibrosis,ARHGEF10,Disease,Gene
Disease::DOID:13223,Disease - downregulates - Gene,Gene::962,uterine fibroid,CD48,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::11044,amyotrophic lateral sclerosis,PAPD7,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::6272,psoriatic arthritis,SORT1,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::5831,amyotrophic lateral sclerosis,PYCR1,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::23299,melanoma,BICD2,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::84629,psoriasis,TNRC18,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::1399,nicotine dependence,CRKL,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::3746,IgA glomerulonephritis,KCNC1,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::55686,Barrett's esophagus,MREG,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::132,Parkinson's disease,ADK,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::123,IgA glomerulonephritis,PLIN2,Disease,Gene
Disease::DOID:3312,Disease - downregulates - Gene,Gene::390191,bipolar disorder,OR5B12,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::793,kidney cancer,CALB1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::64221,hematologic cancer,ROBO3,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::8382,alcohol dependence,NME5,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::84445,alopecia areata,LZTS2,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::203190,ovarian cancer,LGI3,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::7367,colon cancer,UGT2B17,Disease,Gene
Disease::DOID:9970,Disease - downregulates - Gene,Gene::119695,obesity,OR52R1,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::401236,polycystic ovary syndrome,STMND1,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::125972,azoospermia,CALR3,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::6124,pancreatic cancer,RPL4,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::9068,kidney cancer,ANGPTL1,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::216,abdominal aortic aneurysm,ALDH1A1,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::84684,amyotrophic lateral sclerosis,INSM2,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::274,malaria,BIN1,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::79048,idiopathic pulmonary fibrosis,SECISBP2,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::9020,acquired immunodeficiency syndrome,MAP3K14,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::9085,Alzheimer's disease,CDY1,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::28514,nicotine dependence,DLL1,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::440026,idiopathic pulmonary fibrosis,TMEM41B,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::2521,psoriatic arthritis,FUS,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::959,schizophrenia,CD40LG,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::22850,schizophrenia,ADNP2,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::9632,alopecia areata,SEC24C,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::100529215,pancreatic cancer,ZNF559-ZNF177,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::54664,acquired immunodeficiency syndrome,TMEM106B,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::345895,pancreatic cancer,RSPH4A,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::7079,ovarian cancer,TIMP4,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::54843,ulcerative colitis,SYTL2,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::664,pancreatic cancer,BNIP3,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::161394,polycystic ovary syndrome,SAMD15,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::377677,psoriasis,CA13,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::55647,azoospermia,RAB20,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::4925,pancreatic cancer,NUCB2,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::6392,systemic scleroderma,SDHD,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::7855,IgA glomerulonephritis,FZD5,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::5243,Crohn's disease,ABCB1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::51701,Parkinson's disease,NLK,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::56967,polycystic ovary syndrome,C14orf132,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::285812,nicotine dependence,LOC285812,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::6095,hematologic cancer,RORA,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::54869,Barrett's esophagus,EPS8L1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::2949,hematologic cancer,GSTM5,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::26061,Crohn's disease,HACL1,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::5708,Barrett's esophagus,PSMD2,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::10868,amyotrophic lateral sclerosis,USP20,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::1776,kidney cancer,DNASE1L3,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::1027,systemic scleroderma,CDKN1B,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::2200,hematologic cancer,FBN1,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::55768,idiopathic pulmonary fibrosis,NGLY1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::58517,rheumatoid arthritis,RBM25,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::1112,psoriasis,FOXN3,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::83539,chronic obstructive pulmonary disease,CHST9,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::4185,Alzheimer's disease,ADAM11,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::27132,Alzheimer's disease,CPNE7,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::113829,schizophrenia,SLC35A4,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::149483,amyotrophic lateral sclerosis,CCDC17,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::1756,breast cancer,DMD,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::10591,malaria,DNPH1,Disease,Gene
Disease::DOID:9970,Disease - downregulates - Gene,Gene::6038,obesity,RNASE4,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::29914,alcohol dependence,UBIAD1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::55084,breast cancer,SOBP,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::23263,acquired immunodeficiency syndrome,MCF2L,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::4249,systemic scleroderma,MGAT5,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::4311,breast cancer,MME,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::4883,Barrett's esophagus,NPR3,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::56882,IgA glomerulonephritis,CDC42SE1,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::6156,psoriasis,RPL30,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::375190,Crohn's disease,FAM228B,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::9128,IgA glomerulonephritis,PRPF4,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::55074,ulcerative colitis,OXR1,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::8796,melanoma,SCEL,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::825,Barrett's esophagus,CAPN3,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::147945,azoospermia,NLRP4,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::813,psoriatic arthritis,CALU,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::56100,pancreatic cancer,PCDHGB6,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::8073,idiopathic pulmonary fibrosis,PTP4A2,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::9655,acquired immunodeficiency syndrome,SOCS5,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::54386,amyotrophic lateral sclerosis,TERF2IP,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::84321,malaria,THOC3,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::4067,lung cancer,LYN,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::57864,psoriasis,SLC46A2,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::8317,Alzheimer's disease,CDC7,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::83543,abdominal aortic aneurysm,AIF1L,Disease,Gene
Disease::DOID:824,Disease - downregulates - Gene,Gene::389072,periodontitis,PLEKHM3,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::10810,hematologic cancer,WASF3,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::9486,lung cancer,CHST10,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::84885,Parkinson's disease,ZDHHC12,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::54674,malaria,LRRN3,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::1349,Crohn's disease,COX7B,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::79154,ulcerative colitis,DHRS11,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::10783,psoriatic arthritis,NEK6,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::7247,Parkinson's disease,TSN,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::583,systemic scleroderma,BBS2,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::166647,Crohn's disease,ADGRA3,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::3156,melanoma,HMGCR,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::55735,kidney cancer,DNAJC11,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::1837,pancreatic cancer,DTNA,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::7248,acquired immunodeficiency syndrome,TSC1,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::10206,Crohn's disease,TRIM13,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::53834,abdominal aortic aneurysm,FGFRL1,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::57822,melanoma,GRHL3,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::23175,chronic obstructive pulmonary disease,LPIN1,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::1020,Alzheimer's disease,CDK5,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::10638,abdominal aortic aneurysm,SPHAR,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::60494,lung cancer,CCDC81,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::10768,pancreatic cancer,AHCYL1,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::4221,malaria,MEN1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::57178,hematologic cancer,ZMIZ1,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::90233,chronic obstructive pulmonary disease,ZNF551,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::403,Alzheimer's disease,ARL3,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::5825,colon cancer,ABCD3,Disease,Gene
Disease::DOID:9970,Disease - downregulates - Gene,Gene::5164,obesity,PDK2,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::8774,alopecia areata,NAPG,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::9912,colon cancer,ARHGAP44,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::975,hematologic cancer,CD81,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::6297,acquired immunodeficiency syndrome,SALL2,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::9987,rheumatoid arthritis,HNRNPDL,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::117143,idiopathic pulmonary fibrosis,TADA1,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::6687,azoospermia,SPG7,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::8452,abdominal aortic aneurysm,CUL3,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::2534,hematologic cancer,FYN,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::284613,acquired immunodeficiency syndrome,CYB561D1,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::375035,polycystic ovary syndrome,SFT2D2,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::85444,malaria,LRRCC1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::25875,Parkinson's disease,LETMD1,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::140462,kidney cancer,ASB9,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::5217,acquired immunodeficiency syndrome,PFN2,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::286122,amyotrophic lateral sclerosis,C8orf31,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::115207,nicotine dependence,KCTD12,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::57406,schizophrenia,ABHD6,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::10949,IgA glomerulonephritis,HNRNPA0,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::51669,systemic scleroderma,SARAF,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::147699,amyotrophic lateral sclerosis,PPM1N,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::670,kidney cancer,BPHL,Disease,Gene
Disease::DOID:3083,Disease - downregulates - Gene,Gene::8128,chronic obstructive pulmonary disease,ST8SIA2,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::80298,pancreatic cancer,MTERF2,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::2634,abdominal aortic aneurysm,GBP2,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::284194,schizophrenia,LGALS9B,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::824,colon cancer,CAPN2,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::983,nicotine dependence,CDK1,Disease,Gene
Disease::DOID:7147,Disease - downregulates - Gene,Gene::51729,ankylosing spondylitis,WBP11,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::1788,Alzheimer's disease,DNMT3A,Disease,Gene
Disease::DOID:1909,Disease - downregulates - Gene,Gene::6698,melanoma,SPRR1A,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::6422,breast cancer,SFRP1,Disease,Gene
Disease::DOID:332,Disease - downregulates - Gene,Gene::7108,amyotrophic lateral sclerosis,TM7SF2,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::11270,polycystic ovary syndrome,NRM,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::217,hematologic cancer,ALDH2,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::51200,Barrett's esophagus,CPA4,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::25819,IgA glomerulonephritis,CCRN4L,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::6480,systemic scleroderma,ST6GAL1,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::6623,abdominal aortic aneurysm,SNCG,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::54438,colon cancer,GFOD1,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::54808,pancreatic cancer,DYM,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::10655,kidney cancer,DMRT2,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::7384,schizophrenia,UQCRC1,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::11252,colon cancer,PACSIN2,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::728929,malaria,TCEB3CL,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::7779,IgA glomerulonephritis,SLC30A1,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::5698,lung cancer,PSMB9,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::29911,hematologic cancer,HOOK2,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::84271,rheumatoid arthritis,POLDIP3,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::63928,Crohn's disease,CHP2,Disease,Gene
Disease::DOID:7147,Disease - downregulates - Gene,Gene::4665,ankylosing spondylitis,NAB2,Disease,Gene
Disease::DOID:2377,Disease - downregulates - Gene,Gene::23022,multiple sclerosis,PALLD,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::6223,Crohn's disease,RPS19,Disease,Gene
Disease::DOID:9206,Disease - downregulates - Gene,Gene::5887,Barrett's esophagus,RAD23B,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::23678,psoriasis,SGK3,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::4839,idiopathic pulmonary fibrosis,NOP2,Disease,Gene
Disease::DOID:7693,Disease - downregulates - Gene,Gene::57798,abdominal aortic aneurysm,GATAD1,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::718,psoriatic arthritis,C3,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::50862,psoriasis,RNF141,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::32,kidney cancer,ACACB,Disease,Gene
Disease::DOID:418,Disease - downregulates - Gene,Gene::25873,systemic scleroderma,RPL36,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::283713,pancreatic cancer,LOC283713,Disease,Gene
Disease::DOID:1324,Disease - downregulates - Gene,Gene::26036,lung cancer,ZNF451,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::79811,psoriasis,SLTM,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::7874,psoriasis,USP7,Disease,Gene
Disease::DOID:0050742,Disease - downregulates - Gene,Gene::4616,nicotine dependence,GADD45B,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::2962,rheumatoid arthritis,GTF2F1,Disease,Gene
Disease::DOID:1612,Disease - downregulates - Gene,Gene::57678,breast cancer,GPAM,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::126433,polycystic ovary syndrome,FBXO27,Disease,Gene
Disease::DOID:986,Disease - downregulates - Gene,Gene::131578,alopecia areata,LRRC15,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::124936,kidney cancer,CYB5D2,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::925,schizophrenia,CD8A,Disease,Gene
Disease::DOID:263,Disease - downregulates - Gene,Gene::9377,kidney cancer,COX5A,Disease,Gene
Disease::DOID:11612,Disease - downregulates - Gene,Gene::1573,polycystic ovary syndrome,CYP2J2,Disease,Gene
Disease::DOID:10652,Disease - downregulates - Gene,Gene::1258,Alzheimer's disease,CNGB1,Disease,Gene
Disease::DOID:14330,Disease - downregulates - Gene,Gene::10923,Parkinson's disease,SUB1,Disease,Gene
Disease::DOID:8893,Disease - downregulates - Gene,Gene::5865,psoriasis,RAB3B,Disease,Gene
Disease::DOID:9970,Disease - downregulates - Gene,Gene::287,obesity,ANK2,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::1195,IgA glomerulonephritis,CLK1,Disease,Gene
Disease::DOID:10283,Disease - downregulates - Gene,Gene::998,prostate cancer,CDC42,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::391322,rheumatoid arthritis,LOC391322,Disease,Gene
Disease::DOID:219,Disease - downregulates - Gene,Gene::5145,colon cancer,PDE6A,Disease,Gene
Disease::DOID:8778,Disease - downregulates - Gene,Gene::5576,Crohn's disease,PRKAR2A,Disease,Gene
Disease::DOID:0050741,Disease - downregulates - Gene,Gene::28986,alcohol dependence,MAGEH1,Disease,Gene
Disease::DOID:8577,Disease - downregulates - Gene,Gene::79589,ulcerative colitis,RNF128,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::5906,hematologic cancer,RAP1A,Disease,Gene
Disease::DOID:1793,Disease - downregulates - Gene,Gene::90411,pancreatic cancer,MCFD2,Disease,Gene
Disease::DOID:14227,Disease - downregulates - Gene,Gene::4956,azoospermia,ODF1,Disease,Gene
Disease::DOID:2986,Disease - downregulates - Gene,Gene::55905,IgA glomerulonephritis,RNF114,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::6548,acquired immunodeficiency syndrome,SLC9A1,Disease,Gene
Disease::DOID:2531,Disease - downregulates - Gene,Gene::23508,hematologic cancer,TTC9,Disease,Gene
Disease::DOID:4481,Disease - downregulates - Gene,Gene::6386,allergic rhinitis,SDCBP,Disease,Gene
Disease::DOID:2394,Disease - downregulates - Gene,Gene::63979,ovarian cancer,FIGNL1,Disease,Gene
Disease::DOID:9008,Disease - downregulates - Gene,Gene::221477,psoriatic arthritis,C6orf89,Disease,Gene
Disease::DOID:824,Disease - downregulates - Gene,Gene::10092,periodontitis,ARPC5,Disease,Gene
Disease::DOID:0050156,Disease - downregulates - Gene,Gene::7525,idiopathic pulmonary fibrosis,YES1,Disease,Gene
Disease::DOID:635,Disease - downregulates - Gene,Gene::6138,acquired immunodeficiency syndrome,RPL15,Disease,Gene
Disease::DOID:12365,Disease - downregulates - Gene,Gene::8926,malaria,SNURF,Disease,Gene
Disease::DOID:5419,Disease - downregulates - Gene,Gene::84106,schizophrenia,PRAM1,Disease,Gene
Disease::DOID:7148,Disease - downregulates - Gene,Gene::10844,rheumatoid arthritis,TUBGCP2,Disease,Gene
